2005,1,NY,54831
2007,12,OR,12981
2007,12,TX,129783
2007,12,RI,4010
2007,12,WI,10635
2007,11,PA,26979
2007,11,NV,35002
2007,10,TX,134471
2007,9,SD,1794
2007,9,NV,34956
2007,10,OK,9952
2007,10,SD,1750
2007,10,HI,21583
2007,10,NJ,25863
2007,10,ND,1652
2007,10,NC,38280
2007,10,VA,37778
2007,8,MA,21876
2007,8,MI,38288
2007,7,WI,10292
2007,7,KY,24811
2007,7,MO,25043
2007,7,IN,10821
2007,6,MS,3834
2007,7,MN,28542
2007,6,ID,5139
2007,7,GA,77540
2007,7,IA,5382
2007,5,WI,9900
2007,5,VT,1313
2007,5,MA,21768
2007,5,LA,11760
2007,5,CO,46295
2007,3,NH,3704
2007,3,OH,26160
2007,4,TN,27238
2007,3,KY,24866
2007,2,WY,1288
2007,2,MO,20179
2007,3,SD,1963
2007,2,SD,1747
2007,1,MT,3370
2007,1,MA,22916
2007,1,WV,694
2007,1,VT,1103
2007,1,NE,5311
2006,12,PA,28447
2006,12,MS,3343
2006,12,IN,7485
2006,11,WV,751
2006,11,CA,139906
2006,11,CO,42677
2006,8,MI,29415
2006,10,AL,6552
2006,8,AZ,41921
2006,10,OR,12846
2006,9,WY,1468
2006,8,TN,21411
2006,6,MS,3469
2006,6,VA,40356
2006,5,IA,4068
2006,7,OR,13448
2006,7,TN,20832
2006,4,IN,8470
2006,4,MA,21906
2006,3,HI,12437
2006,2,KS,1831
2006,3,AZ,42236
2006,3,FL,85460
2006,1,AK,6144
2005,12,MA,20760
2005,12,VA,39991
2005,11,KY,38342
2005,11,VI,574
2005,11,AZ,32398
2005,11,ID,4465
2005,9,SC,7565
2005,9,AZ,31709
2005,9,WY,1559
2005,10,MD,18020
2005,9,SD,1543
2005,9,MD,17184
2005,8,NE,4509
2005,6,MO,22420
2005,7,OH,27477
2005,7,NM,6560
2005,5,MS,3604
2005,5,OK,7598
2005,5,IL,75661
2005,3,MO,21963
2005,2,SC,7459
2005,3,VT,1371
2005,1,WY,1417
2005,1,PR,4958
2005,1,PA,34894
2007,11,AL,7817
2007,12,LA,11743
2007,11,VT,1054
2007,12,ME,1803
2007,11,OH,22360
2007,12,VT,1153
2007,12,NM,7325
2007,11,OR,12521
2007,11,VA,36523
2007,9,VI,340
2007,9,MA,19861
2007,9,MI,35030
2007,9,AL,7621
2007,9,DE,13
2007,10,MI,36918
2007,8,IL,85620
2007,8,MO,25324
2007,8,OH,25012
2007,8,NH,3833
2007,6,CT,5356
2007,6,MI,37650
2007,5,GA,72025
2007,7,SD,2181
2007,7,VT,1408
2007,5,MI,37844
2007,5,OH,25308
2007,5,KY,24180
2007,5,NC,38405
2007,4,CO,44989
2007,4,FL,85416
2007,2,CT,5008
2007,4,NE,5246
2007,1,SC,7462
2007,1,NH,3397
2007,1,VA,41668
2007,1,IN,9781
2006,11,ND,1603
2006,12,ID,4606
2006,12,VA,41117
2006,11,PR,3872
2006,11,AL,6173
2006,10,CA,146697
2006,9,KS,2142
2006,10,NH,3694
2006,10,NM,6265
2006,8,PA,30142
2006,8,VT,1278
2006,10,VT,1173
2006,10,MA,22822
2006,8,IA,4006
2006,6,NJ,26777
2006,7,NJ,27405
2006,7,NC,33335
2006,7,LA,10453
2006,7,CA,149671
2006,5,VA,41356
2006,6,MO,21537
2006,6,UT,24822
2006,4,WV,837
2006,4,MO,20973
2006,4,NJ,26783
2006,2,MD,15828
2006,3,ME,2001
2006,2,PR,4303
2006,3,TN,20822
2006,2,MS,3265
